season,round,player,elo
1,12,Roma,1783.0
1,12,Sevilla,1755.0
1,12,Slavia Prag,1620.0
1,12,Spanien,2028.0
1,12,West Ham,1787.0
1,13,AC Milan,1829.0
1,13,AGF,1471.0
1,13,Aston Villa,1825.0
1,13,Bayer Leverkusen,1756.0
1,13,Benfica,1794.0
1,13,Betis,1750.0
1,13,FCK,1626.0
1,13,Inter,1885.0
1,13,Juventus,1806.0
1,13,Liverpool,1946.0
1,13,Manchester City,2083.0
1,13,Real Madrid,1917.0
1,13,Roma,1783.0
1,13,Sevilla,1755.0
1,13,Sporting Lissabon,1752.0
1,14,AC Milan,1829.0
1,14,AEK Athen,1568.0
1,14,Almeria,1601.0
1,14,Betis,1750.0
1,14,Cardiff,1449.0
1,14,Celta Vigo,1651.0
1,14,Chelsea,1780.0
1,14,Coventry,1578.0
1,14,Fiorentina,1758.0
1,14,Getafe,1644.0
1,14,Girona,1682.0
1,14,Inter,1885.0
1,14,Juventus,1806.0
1,14,Luton,1602.0
1,14,Lyngby,1351.0
1,14,Manchester United,1865.0
1,14,PAOK,1532.0
1,14,Stoke,1499.0
1,14,Valladolid,1606.0
1,15,AGF,1471.0
1,15,Antwerpen,1623.0
1,15,Braga,1664.0
1,15,Frankfurt,1719.0
1,15,Genk,1599.0
1,15,HSV Hamburg,1596.0
1,15,Heerenveen,1494.0
1,15,Lyngby,1351.0
1,15,Manchester City,2083.0
1,15,Manchester United,1865.0
1,15,Porto,1826.0
1,15,RB Leipzig,1817.0
1,15,Randers,1405.0
1,15,Roma,1783.0
1,15,Sevilla,1755.0
1,15,Stuttgart,1641.0
1,15,Twente,1665.0
1,16,Alaves,1593.0
1,16,Albacete,1506.0
1,16,Bari,1494.0
1,16,Cagliari,1572.0
1,16,Eibar,1550.0
1,16,Fiorentina,1758.0
1,16,Inter,1885.0
1,16,Levante,1617.0
1,16,Manchester City,2083.0
1,16,West Ham,1787.0
1,17,Alaves,1593.0
1,17,Belgien,1983.0
1,17,Danmark,1871.0
1,17,Finland,1628.0
1,17,Holland,1967.0
1,17,Italien,1940.0
1,17,Kroatien,1948.0
1,17,Levante,1617.0
1,17,Nordirland,1451.0
1,17,Norge,1745.0
1,17,Skotland,1814.0
1,17,Slovenien,1712.0
1,17,Spanien,2028.0
1,17,Østrig,1813.0
1,18,Brann,1355.0
1,18,Honduras,1491.0
1,18,Island,1492.0
1,18,Mexico,1840.0
1,18,Portugal,2032.0
1,18,RFS,1225.0
1,18,Rosenborg,1410.0
1,18,Sarpsborg,1345.0
1,18,St. Patricks,1167.0
1,18,Sverige,1739.0
1,18,Valmiera,1151.0
1,18,Viking,1454.0
1,18,Østrig,1813.0
1,19,AIK,1350.0
1,19,Bayer Leverkusen,1756.0
1,19,Bodø/Glimt,1563.0
1,19,Brommapojkarna,1231.0
1,19,Flora Tallinn,1131.0
1,19,Göteborg,1304.0
1,19,HJK Helsinki,1277.0
1,19,Haka,1203.0
1,19,Halmstad,1228.0
1,19,Honduras,1491.0
1,19,Molde,1562.0
1,19,Qatar,1508.0
1,19,Trinidad,1402.0
1,19,USA,1806.0
1,20,Breidablik,1214.0
1,20,Djurgården,1434.0
1,20,El Salvador,1407.0
1,20,Elfsborg,1476.0
1,20,Haugesund,1320.0
1,20,KA Akureyri,1228.0
1,20,Kalmar,1313.0
1,20,Lillestrøm,1391.0
1,20,Panama,1719.0
1,20,Rosenborg,1410.0
1,20,Viking,1454.0
1,20,Värnamo,1269.0
1,20,Zalgiris,1226.0
1,21,Derry City,1194.0
1,21,Dinamo Zagreb,1593.0
1,21,Dudelange,1085.0
1,21,Elfsborg,1476.0
1,21,Farul Constanta,1412.0
1,21,Ferencvaros,1386.0
1,21,Göteborg,1304.0
1,21,HB Thorshavn,1044.0
1,21,HJK Helsinki,1277.0
1,21,Hajduk Split,1506.0
1,21,Klaksvik,1151.0
1,21,Larne,1056.0
1,21,Lokomotiv Plovdiv,1290.0
1,21,Molde,1562.0
1,21,Sheriff Tiraspol,1494.0
1,21,St. Patricks,1167.0
1,21,Vålerenga,1337.0
1,22,Antwerpen,1623.0
1,22,Breidablik,1214.0
1,22,Brøndby,1485.0
1,22,Dila Gori,1194.0
1,22,FCK,1626.0
1,22,Göteborg,1304.0
1,22,HJK Helsinki,1277.0
1,22,Halmstad,1228.0
1,22,Häcken,1477.0
1,22,Larne,1056.0
1,22,Lyngby,1351.0
1,22,Mechelen,1447.0
1,22,Shakhtar Donetsk,1601.0
1,22,Silkeborg,1421.0
1,22,The New Saints,1079.0
1,23,AGF,1471.0
1,23,Austria Wien,1451.0
1,23,Breidablik,1214.0
1,23,Brøndby,1485.0
1,23,Club Brügge,1638.0
1,23,FC Midtjylland,1569.0
1,23,FCK,1626.0
1,23,Genk,1599.0
1,23,Hammarby,1407.0
1,23,Häcken,1477.0
1,23,Klaksvik,1151.0
1,23,OB,1434.0
1,23,Servette,1479.0
1,23,Silkeborg,1421.0
1,23,St. Pauli,1556.0
1,23,Sturm Graz,1579.0
1,23,Twente,1665.0
1,24,AGF,1471.0
1,24,Arsenal,1921.0
1,24,Beitar Jerusalem,1315.0
1,24,Coventry,1578.0
1,24,FCK,1626.0
1,24,Genk,1599.0
1,24,HJK Helsinki,1277.0
1,24,Hammarby,1407.0
1,24,Hvidovre,1324.0
1,24,Kaiserslautern,1406.0
1,24,Leicester,1733.0
1,24,Ludogorets,1501.0
1,24,Manchester City,2083.0
1,24,Molde,1562.0
1,24,Olimpija Ljubljana,1343.0
1,24,PAOK,1532.0
1,24,Randers,1405.0
1,24,Schalke 04,1570.0
1,24,Servette,1479.0
1,24,Twente,1665.0
1,25,AIK,1350.0
1,25,Athletic Bilbao,1704.0
1,25,Bayern München,1940.0
1,25,Brommapojkarna,1231.0
1,25,Chelsea,1780.0
1,25,FC Midtjylland,1569.0
1,25,FC Nordsjælland,1547.0
1,25,FCK,1626.0
1,25,Liverpool,1946.0
1,25,Marseille,1697.0
1,25,Omonia,1431.0
1,25,PSV,1768.0
1,25,Panama,1719.0
1,25,RB Leipzig,1817.0
1,25,Real Madrid,1917.0
1,25,Spanien,2028.0
1,25,Steaua Bukarest,1454.0
1,25,Sturm Graz,1579.0
1,26,AGF,1471.0
1,26,Brøndby,1485.0
1,26,Dortmund,1843.0
1,26,FC Midtjylland,1569.0
1,26,FC Nordsjælland,1547.0
1,26,FCK,1626.0
1,26,Feyenoord,1745.0
1,26,Köln,1661.0
1,26,Manchester City,2083.0
1,26,Manchester United,1865.0
1,26,Marseille,1697.0
1,26,OB,1434.0
1,26,Omonia,1431.0
1,26,Panama,1719.0
1,26,Sevilla,1755.0
1,26,Spanien,2028.0
1,26,Sparta Rotterdam,1564.0
1,26,Steaua Bukarest,1454.0
1,26,Tottenham,1829.0
1,27,Braga,1664.0
1,27,Club Brügge,1638.0
1,27,FC Midtjylland,1569.0
1,27,FC Nordsjælland,1547.0
1,27,FCK,1626.0
1,27,Fenerbahce,1655.0
1,27,Galatasaray,1668.0
1,27,Legia,1499.0
1,27,Maccabi Haifa,1610.0
1,27,Molde,1562.0
1,27,Osasuna,1670.0
1,27,PSV,1768.0
1,27,Panama,1719.0
1,27,Partizan Beograd,1446.0
1,27,Rakow,1557.0
1,27,Randers,1405.0
1,27,Rangers,1654.0
1,27,Twente,1665.0
1,27,Viborg,1464.0
1,27,Young Boys,1603.0
1,28,AC Milan,1829.0
1,28,AEK Athen,1568.0
1,28,Antwerpen,1623.0
1,28,Braga,1664.0
1,28,FC Midtjylland,1569.0
1,28,FC Nordsjælland,1547.0
1,28,FCK,1626.0
1,28,Frankfurt,1719.0
1,28,Girona,1682.0
1,28,Liverpool,1946.0
1,28,Maccabi Haifa,1610.0
1,28,Mainz,1673.0
1,28,Newcastle,1884.0
1,28,PSV,1768.0
1,28,Panama,1719.0
1,28,Rakow,1557.0
1,28,Rangers,1654.0
1,28,Sevilla,1755.0
1,28,Torino,1692.0
1,28,Young Boys,1603.0
1,29,AZ Alkmaar,1671.0
1,29,Aberdeen,1348.0
1,29,Barcelona,1861.0
1,29,Brann,1355.0
1,29,Celtic,1644.0
1,29,Dinamo Zagreb,1593.0
1,29,FC Midtjylland,1569.0
1,29,FC Nordsjælland,1547.0
1,29,Freiburg,1739.0
1,29,Häcken,1477.0
1,29,Klaksvik,1151.0
1,29,Lazio,1767.0
1,29,Legia,1499.0
1,29,Lyngby,1351.0
1,29,Napoli,1908.0
1,29,Osasuna,1670.0
1,29,Rangers,1654.0
1,29,Sheriff Tiraspol,1494.0
1,29,Spanien,2028.0
1,29,Stuttgart,1641.0
1,30,Danmark,1871.0
1,30,England ,2031.0
1,30,Finland,1628.0
1,30,Grækenland,1710.0
1,30,Holland,1967.0
1,30,Irland,1617.0
1,30,Real Oviedo,1527.0
1,30,Servette,1479.0
1,30,Sporting Gijon,1472.0
1,30,Ukraine,1844.0
1,30,Ungarn,1842.0
1,30,Vejle,1310.0
1,31,AC Milan,1829.0
1,31,Cardiff,1449.0
1,31,Darmstadt,1549.0
1,31,FC Nordsjælland,1547.0
1,31,FCK,1626.0
1,31,Georgien,1637.0
1,31,Gladbach,1683.0
1,31,Inter,1885.0
1,31,Italien,1940.0
1,31,Norge,1745.0
1,31,Real Madrid,1917.0
1,31,Sociedad,1777.0
1,31,Sverige,1739.0
1,31,Swansea,1536.0
1,31,The New Saints,1079.0
1,31,Ukraine,1844.0
1,31,Østrig,1813.0
1,32,AC Milan,1829.0
1,32,Arsenal,1921.0
1,32,Atletico Madrid,1848.0
1,32,Bayern München,1940.0
1,32,Brøndby,1485.0
1,32,FC Nordsjælland,1547.0
1,32,FCK,1626.0
1,32,Fenerbahce,1655.0
1,32,Galatasaray,1668.0
1,32,Gladbach,1683.0
1,32,Juventus,1806.0
1,32,Lazio,1767.0
1,32,Manchester United,1865.0
1,32,Newcastle,1884.0
1,32,RB Leipzig,1817.0
1,32,Real Madrid,1917.0
1,32,Sassuolo,1640.0
1,32,Tottenham,1829.0
1,33,AC Milan,1829.0
1,33,Aston Villa,1825.0
1,33,Athletic Bilbao,1704.0
1,33,Bayern München,1940.0
1,33,Betis,1750.0
1,33,Bodø/Glimt,1563.0
1,33,Brighton,1843.0
1,33,FC Midtjylland,1569.0
1,33,FCK,1626.0
1,33,Grasshoppers,1392.0
1,33,Lazio,1767.0
1,33,Lille,1701.0
1,33,Napoli,1908.0
1,33,RB Leipzig,1817.0
1,33,Reims,1598.0
1,33,Sociedad,1777.0
1,33,Udinese,1642.0
